"Time","x", "Temperature"
0.0065,5,0
0.0066,0,0
0.0066,1,100
0.0066,2,50.8822
0.0066,3,31.6369
0.0066,4,25
0.0066,5,0
0.0067,0,0
0.0067,1,100
0.0067,2,51.1315
0.0067,3,31.7974
0.0067,4,25
0.0067,5,0
0.0068,0,0
0.0068,1,100
0.0068,2,51.3779
0.0068,3,31.9587
0.0068,4,25
0.0068,5,0
0.0069,0,0
0.0069,1,100
0.0069,2,51.6216
0.0069,3,32.1207
0.0069,4,25
0.0069,5,0
0.007,0,0
0.007,1,100
0.007,2,51.8625
0.007,3,32.2834
0.007,4,25
0.007,5,0
0.0071,0,0
0.0071,1,100
0.0071,2,52.1008
0.0071,3,32.4468
0.0071,4,25
0.0071,5,0
0.0072,0,0
0.0072,1,100
0.0072,2,52.3364
0.0072,3,32.6107
0.0072,4,25
0.0072,5,0
0.0073,0,0
0.0073,1,100
0.0073,2,52.5695
0.0073,3,32.7753
0.0073,4,25
0.0073,5,0
0.0074,0,0
0.0074,1,100
0.0074,2,52.8001
0.0074,3,32.9404
0.0074,4,25
0.0074,5,0
0.0075,0,0
0.0075,1,100
0.0075,2,53.0282
0.0075,3,33.1061
0.0075,4,25
0.0075,5,0
0.0076,0,0
0.0076,1,100
0.0076,2,53.2539
0.0076,3,33.2723
0.0076,4,25
0.0076,5,0
0.0077,0,0
0.0077,1,100
0.0077,2,53.4772
0.0077,3,33.439
0.0077,4,25
0.0077,5,0
0.0078,0,0
0.0078,1,100
0.0078,2,53.6982
0.0078,3,33.6062
0.0078,4,25
0.0078,5,0
0.0079,0,0
0.0079,1,100
0.0079,2,53.9169
0.0079,3,33.7738
0.0079,4,25
0.0079,5,0
0.008,0,0
0.008,1,100
0.008,2,54.1333
0.008,3,33.9419
0.008,4,25
0.008,5,0
0.0081,0,0
0.0081,1,100
0.0081,2,54.3475
0.0081,3,34.1103
0.0081,4,25
0.0081,5,0
0.0082,0,0
0.0082,1,100
0.0082,2,54.5596
0.0082,3,34.2791
0.0082,4,25
0.0082,5,0
0.0083,0,0
0.0083,1,100
0.0083,2,54.7695
0.0083,3,34.4483
0.0083,4,25
0.0083,5,0
0.0084,0,0
0.0084,1,100
0.0084,2,54.9774
0.0084,3,34.6179
0.0084,4,25
0.0084,5,0
0.0085,0,0
0.0085,1,100
0.0085,2,55.1831
0.0085,3,34.7877
0.0085,4,25
0.0085,5,0
0.0086,0,0
0.0086,1,100
0.0086,2,55.3869
0.0086,3,34.9579
0.0086,4,25
0.0086,5,0
0.0087,0,0
0.0087,1,100
0.0087,2,55.5887
0.0087,3,35.1283
0.0087,4,25
0.0087,5,0
0.0088,0,0
0.0088,1,100
0.0088,2,55.7885
0.0088,3,35.299
0.0088,4,25
0.0088,5,0
0.0089,0,0
0.0089,1,100
0.0089,2,55.9864
0.0089,3,35.4699
0.0089,4,25
0.0089,5,0
0.009,0,0
0.009,1,100
0.009,2,56.1825
0.009,3,35.6411
0.009,4,25
0.009,5,0
0.0091,0,0
0.0091,1,100
0.0091,2,56.3767
0.0091,3,35.8125
0.0091,4,25
0.0091,5,0
0.0092,0,0
0.0092,1,100
0.0092,2,56.5691
0.0092,3,35.984
0.0092,4,25
0.0092,5,0
0.0093,0,0
0.0093,1,100
0.0093,2,56.7597
0.0093,3,36.1557
0.0093,4,25
0.0093,5,0
0.0094,0,0
0.0094,1,100
0.0094,2,56.9486
0.0094,3,36.3276
0.0094,4,25
0.0094,5,0
0.0095,0,0
0.0095,1,100
0.0095,2,57.1357
0.0095,3,36.4997
0.0095,4,25
0.0095,5,0
0.0096,0,0
0.0096,1,100
0.0096,2,57.3212
0.0096,3,36.6718
0.0096,4,25
0.0096,5,0
0.0097,0,0
0.0097,1,100
0.0097,2,57.505
0.0097,3,36.8441
0.0097,4,25
0.0097,5,0
0.0098,0,0
0.0098,1,100
0.0098,2,57.6871
0.0098,3,37.0164
0.0098,4,25
0.0098,5,0
0.0099,0,0
0.0099,1,100
0.0099,2,57.8677
0.0099,3,37.1889
0.0099,4,25
0.0099,5,0
